Name,Brand,Model,Year,Kms_Driven,Owner,Fuel,Drive,Type,Price
Ford FREESTYLE,FORD,FREESTYLE,2020,37077,1,PETROL,MANUAL,SUV,633000
Maruti Alto 800,MARUTI,ALTO 800,2017,54791,1,PETROL,MANUAL,HATCHBACK,331000
Maruti Ertiga,MARUTI,ERTIGA,2012,100274,1,DIESEL,MANUAL,SUV,416000
Hyundai Elite i20,HYUNDAI,ELITE I20,2016,74317,1,PETROL,MANUAL,HATCHBACK,483000
Maruti Ciaz,MARUTI,CIAZ,2017,70660,1,PETROL,AUTOMATIC,SEDAN,776000
Ford Ecosport,FORD,ECOSPORT,2019,57675,1,CNG,MANUAL,SUV,796000
Hyundai Grand i10,HYUNDAI,GRAND I10,2019,32033,1,PETROL,AUTOMATIC,HATCHBACK,593000
Hyundai i10,HYUNDAI,I10,2010,99873,1,PETROL,MANUAL,HATCHBACK,162000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2018,10409,1,PETROL,AUTOMATIC,HATCHBACK,486000
Honda Jazz,HONDA,JAZZ,2016,31130,1,PETROL,MANUAL,HATCHBACK,461000
KIA SELTOS,KIA,SELTOS,2020,96537,2,PETROL,MANUAL,SUV,906000
Renault Duster,RENAULT,DUSTER,2013,92379,1,DIESEL,MANUAL,SUV,362000
Maruti Swift Dzire,MARUTI,DZIRE,2014,26337,2,PETROL,MANUAL,SEDAN,621000
Nissan MAGNITE,NISSAN,MAGNITE,2021,25725,1,PETROL,AUTOMATIC,SUV,858000
Hyundai Grand i10,HYUNDAI,GRAND I10,2019,15100,1,PETROL,MANUAL,HATCHBACK,606000
Hyundai GRAND I10 NIOS,HYUNDAI,GRAND I10 NIOS,2021,27546,1,PETROL,AUTOMATIC,HATCHBACK,692000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2018,32330,1,PETROL,AUTOMATIC,HATCHBACK,449000
Honda Amaze,HONDA,AMAZE,2019,18152,1,PETROL,MANUAL,SEDAN,689000
Maruti Dzire,MARUTI,DZIRE,2017,71321,2,PETROL,MANUAL,SEDAN,701000
Maruti Alto K10,MARUTI,ALTO K10,2012,80172,2,PETROL,MANUAL,HATCHBACK,197300
Maruti Swift,MARUTI,SWIFT,2018,44602,1,PETROL,MANUAL,HATCHBACK,654000
Toyota YARIS,TOYOTA,YARIS,2018,39299,1,PETROL,AUTOMATIC,SEDAN,901000
Honda Brio,HONDA,BRIO,2012,52092,2,PETROL,MANUAL,HATCHBACK,332000
Volkswagen Ameo,VOLKSWAGEN,AMEO,2018,19158,1,PETROL,MANUAL,SEDAN,654000
Renault Kiger,RENAULT,KIGER,2021,20044,1,PETROL,MANUAL,HATCHBACK,675000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2014,44752,1,PETROL,MANUAL,HATCHBACK,353000
Honda Accord,HONDA,OTHER,2013,114653,1,PETROL,MANUAL,SEDAN,190000
Datsun Redi Go,DATSUN,REDI GO,2018,30732,1,PETROL,MANUAL,HATCHBACK,262000
Maruti Swift Dzire,MARUTI,DZIRE,2012,14799,1,PETROL,MANUAL,SEDAN,468000
Maruti Dzire,MARUTI,DZIRE,2018,43525,1,PETROL,MANUAL,SEDAN,674000
Hyundai Grand i10,HYUNDAI,GRAND I10,2017,92995,2,PETROL,MANUAL,HATCHBACK,442000
Hyundai NEW I20,HYUNDAI,NEW I20,2021,14261,1,PETROL,MANUAL,HATCHBACK,763000
Honda Amaze,HONDA,AMAZE,2013,9415,1,PETROL,MANUAL,SEDAN,723000
Maruti Celerio,MARUTI,CELERIO,2018,17547,1,PETROL,AUTOMATIC,HATCHBACK,488000
Maruti Celerio,MARUTI,CELERIO,2017,49344,1,PETROL,AUTOMATIC,HATCHBACK,471000
Hyundai Elite i20,HYUNDAI,ELITE I20,2019,18690,1,PETROL,MANUAL,HATCHBACK,751000
Tata NEXON,TATA,NEXON,2018,83234,1,DIESEL,MANUAL,SUV,526000
Maruti Ciaz,MARUTI,CIAZ,2021,17752,1,PETROL,MANUAL,SEDAN,761000
Honda Amaze,HONDA,AMAZE,2021,97084,1,PETROL,MANUAL,SEDAN,422000
Hyundai Xcent,HYUNDAI,XCENT,2015,40791,2,PETROL,MANUAL,SEDAN,444000
Tata ALTROZ,TATA,ALTROZ,2020,35197,1,DIESEL,MANUAL,HATCHBACK,787000
Maruti Vitara Brezza,MARUTI,VITARA BREZZA,2018,73081,1,DIESEL,MANUAL,SUV,635000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2018,58165,2,PETROL,MANUAL,HATCHBACK,383000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2011,22866,1,PETROL,MANUAL,HATCHBACK,220000
Maruti Baleno,MARUTI,BALENO,2017,54410,1,PETROL,MANUAL,HATCHBACK,496000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2017,14524,1,PETROL,MANUAL,HATCHBACK,463000
Renault Kwid,RENAULT,KWID,2015,66995,2,PETROL,MANUAL,HATCHBACK,283000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2017,75537,1,CNG,MANUAL,HATCHBACK,374250
Maruti Dzire,MARUTI,DZIRE,2017,39198,1,PETROL,AUTOMATIC,SEDAN,973000
Maruti Baleno,MARUTI,BALENO,2016,74270,2,DIESEL,MANUAL,HATCHBACK,545000
Maruti Baleno,MARUTI,BALENO,2017,36573,3,PETROL,MANUAL,HATCHBACK,610000
Maruti A Star,MARUTI,OTHER,2010,64103,2,PETROL,MANUAL,HATCHBACK,221000
Maruti Alto 800,MARUTI,ALTO 800,2018,26158,1,PETROL,MANUAL,HATCHBACK,343000
Maruti Alto,MARUTI,ALTO,2019,60299,1,PETROL,MANUAL,HATCHBACK,380000
Maruti Baleno,MARUTI,BALENO,2017,32343,1,PETROL,AUTOMATIC,HATCHBACK,603000
Maruti Ciaz,MARUTI,CIAZ,2015,123077,2,DIESEL,MANUAL,SEDAN,569350
Hyundai Elite i20,HYUNDAI,ELITE I20,2017,29201,2,PETROL,MANUAL,HATCHBACK,561000
Honda City,HONDA,CITY,2017,71105,1,PETROL,AUTOMATIC,SEDAN,627000
Maruti Swift Dzire,MARUTI,DZIRE,2012,73399,1,PETROL,MANUAL,SEDAN,419000
Maruti Swift Dzire,MARUTI,DZIRE,2013,41312,1,PETROL,MANUAL,SEDAN,451000
Maruti Baleno,MARUTI,BALENO,2017,34102,1,PETROL,MANUAL,HATCHBACK,624000
Hyundai i10,HYUNDAI,I10,2011,69532,1,PETROL,AUTOMATIC,HATCHBACK,343000
Maruti Vitara Brezza,MARUTI,VITARA BREZZA,2020,41465,2,DIESEL,MANUAL,SUV,726000
Maruti Ritz,MARUTI,RITZ,2014,75638,2,PETROL,MANUAL,HATCHBACK,378000
Maruti Dzire,MARUTI,DZIRE,2019,51377,1,PETROL,AUTOMATIC,SEDAN,672000
Maruti Swift Dzire,MARUTI,DZIRE,2014,35872,1,PETROL,MANUAL,SEDAN,336000
Honda Jazz,HONDA,JAZZ,2015,74079,2,PETROL,MANUAL,HATCHBACK,428000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2011,79275,1,PETROL,MANUAL,HATCHBACK,202000
Hyundai Grand i10,HYUNDAI,GRAND I10,2018,27721,1,PETROL,MANUAL,HATCHBACK,497000
Maruti Swift,MARUTI,SWIFT,2018,21347,1,PETROL,MANUAL,HATCHBACK,559000
Maruti IGNIS,MARUTI,IGNIS,2017,59811,1,PETROL,AUTOMATIC,HATCHBACK,537000
Nissan Micra,NISSAN,OTHER,2018,89172,1,PETROL,AUTOMATIC,HATCHBACK,449000
Maruti Baleno,MARUTI,BALENO,2019,31867,1,PETROL,MANUAL,HATCHBACK,680000
Hyundai i20,HYUNDAI,I20,2012,39845,1,PETROL,MANUAL,HATCHBACK,320000
Maruti Alto K10,MARUTI,ALTO K10,2015,67182,2,PETROL,AUTOMATIC,HATCHBACK,348000
Mahindra XUV500,MAHINDRA,XUV500,2018,69690,1,DIESEL,MANUAL,LUX_SUV,1187000
Renault Kwid,RENAULT,KWID,2019,66740,1,PETROL,AUTOMATIC,HATCHBACK,401000
Honda Brio,HONDA,BRIO,2014,70683,2,PETROL,MANUAL,HATCHBACK,286000
Maruti Swift,MARUTI,SWIFT,2019,39280,2,PETROL,MANUAL,HATCHBACK,572000
Maruti Vitara Brezza,MARUTI,VITARA BREZZA,2019,41265,2,DIESEL,MANUAL,SUV,914000
Hyundai Verna,HYUNDAI,VERNA,2017,58942,1,PETROL,AUTOMATIC,SEDAN,802000
Hyundai i20,HYUNDAI,I20,2014,36766,2,PETROL,MANUAL,HATCHBACK,525000
Hyundai Eon,HYUNDAI,EON,2016,33476,1,PETROL,MANUAL,HATCHBACK,327000
Hyundai Creta,HYUNDAI,CRETA,2015,99951,2,PETROL,MANUAL,SUV,690000
Tata Tiago,TATA,TIAGO,2021,12060,1,PETROL,MANUAL,HATCHBACK,667000
Tata Tiago,TATA,TIAGO,2019,30214,1,PETROL,MANUAL,HATCHBACK,477000
Ford Ecosport,FORD,ECOSPORT,2016,46706,1,PETROL,MANUAL,SUV,692000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2014,53706,1,PETROL,MANUAL,HATCHBACK,327000
Hyundai Grand i10,HYUNDAI,GRAND I10,2014,59973,1,PETROL,MANUAL,HATCHBACK,440000
Maruti Alto,MARUTI,ALTO,2020,61703,1,PETROL,MANUAL,HATCHBACK,333000
Hyundai Eon,HYUNDAI,EON,2015,43724,1,PETROL,MANUAL,HATCHBACK,299000
Maruti Baleno,MARUTI,BALENO,2017,26371,1,PETROL,MANUAL,HATCHBACK,529000
Hyundai Verna,HYUNDAI,VERNA,2017,114451,1,DIESEL,MANUAL,SEDAN,800000
Maruti Celerio,MARUTI,CELERIO,2020,81389,1,CNG,MANUAL,HATCHBACK,497000
Ford Ecosport,FORD,ECOSPORT,2017,33921,1,PETROL,MANUAL,SUV,722000
Mahindra Bolero,MAHINDRA,OTHER,2020,47559,2,DIESEL,MANUAL,SUV,762000
Maruti Alto K10,MARUTI,ALTO K10,2010,54671,1,PETROL,MANUAL,HATCHBACK,233000
Hyundai i10,HYUNDAI,I10,2010,50831,3,PETROL,MANUAL,HATCHBACK,241000
Maruti Celerio,MARUTI,CELERIO,2020,50393,1,CNG,MANUAL,HATCHBACK,507000
Hyundai VENUE,HYUNDAI,VENUE,2021,16860,2,PETROL,MANUAL,SUV,1007000
Maruti Dzire,MARUTI,DZIRE,2020,69384,2,DIESEL,AUTOMATIC,SEDAN,676000
Renault Duster,RENAULT,DUSTER,2016,52851,1,DIESEL,MANUAL,SUV,573000
Maruti Alto 800,MARUTI,ALTO 800,2015,61979,1,PETROL,MANUAL,HATCHBACK,277000
Hyundai i10,HYUNDAI,I10,2011,72666,1,PETROL,MANUAL,HATCHBACK,237000
Maruti IGNIS,MARUTI,IGNIS,2020,52819,1,PETROL,AUTOMATIC,HATCHBACK,611000
Renault Kwid,RENAULT,KWID,2019,19797,1,PETROL,MANUAL,HATCHBACK,344000
Hyundai NEW SANTRO,HYUNDAI,NEW SANTRO,2018,39198,2,PETROL,AUTOMATIC,HATCHBACK,538000
Honda City,HONDA,CITY,2016,16856,1,PETROL,MANUAL,SEDAN,702000
Toyota Etios Liva,TOYOTA,ETIOS LIVA,2014,73506,1,PETROL,MANUAL,HATCHBACK,269800
Maruti Ciaz,MARUTI,CIAZ,2015,51252,1,PETROL,AUTOMATIC,SEDAN,716000
Maruti Alto,MARUTI,ALTO,2019,20494,1,PETROL,MANUAL,HATCHBACK,324000
Maruti Ciaz,MARUTI,CIAZ,2018,14290,1,PETROL,AUTOMATIC,SEDAN,1368000
Honda Jazz,HONDA,JAZZ,2017,50359,1,PETROL,AUTOMATIC,HATCHBACK,696000
Renault Kwid,RENAULT,KWID,2018,9889,1,PETROL,MANUAL,HATCHBACK,350000
Maruti Wagon R 1.0,MARUTI,WAGON R 1.0,2014,40670,1,CNG,MANUAL,HATCHBACK,376000
Renault TRIBER,RENAULT,TRIBER,2022,5303,1,PETROL,MANUAL,SUV,719000
Maruti Celerio,MARUTI,CELERIO,2016,63509,1,PETROL,AUTOMATIC,HATCHBACK,413000
Hyundai NEW I20,HYUNDAI,NEW I20,2021,17449,2,DIESEL,MANUAL,HATCHBACK,856000
Maruti Baleno,MARUTI,BALENO,2019,43476,2,PETROL,MANUAL,HATCHBACK,588000
